Issue Title,Description,Owner,Priority,Status
Create GitHub repository structure,Create folders for code report screenshots and packet captures,Member 4,High,Not Started
Prepare CSV sample files,Create small sample CSV files for testing,Member 1,Medium,Not Started
Build CSV client encrypt feature,Add command line encrypt function using Python Cryptography Hazmat,Member 1,High,Not Started
Build CSV client decrypt feature,Add command line decrypt function using Python Cryptography Hazmat,Member 1,High,Not Started
Build CSV client upload feature,Upload file to server using HTTP,Member 1,High,Not Started
Build Python server receive feature,Server should receive uploaded CSV files,Member 2,High,Not Started
Add server report/decrypt feature,Server should decrypt and save received files,Member 2,High,Not Started
Add Diffie-Hellman key exchange,Client and server should agree on shared secret,Member 2,High,Not Started
Set up Apache server,Install and run Apache on Linux cloud VM,Member 3,High,Not Started
Configure secure HTTPS,Enable HTTPS using recommended TLS settings,Member 3,High,Not Started
Configure insecure HTTPS,Create weaker TLS configuration for comparison,Member 3,High,Not Started
Capture CSV app packets,Capture client server traffic using tcpdump or Wireshark,Member 4,High,Not Started
Capture HTTPS secure packets,Capture secure TLS connection,Member 4,Medium,Not Started
Capture HTTPS insecure packets,Capture insecure TLS connection,Member 4,Medium,Not Started
Write protocol analysis,Explain protocols and cryptographic mechanisms,Member 4,High,Not Started
Write security flaws analysis,Explain possible attacks weaknesses and tradeoffs,Member 4,High,Not Started
Prepare presentation slides,Create short slides for four speakers,All,High,Not Started
Prepare demo script,Prepare simple demo flow and speaking notes,All,High,Not Started
